old,new,id
Minaria_decussata_CB205,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_decussata_CB205,174
Minaria_ditassoides_CB207,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_ditassoides_CB207,175
Minaria_grazielae_CB449,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_grazielae_CB449,176
Minaria_harley_CB206,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_harley_CB206,177
Minaria_hemipogonoides_CB208,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_hemipogonoides_CB208,178
Minaria_lourtegiae_CB433,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_lourtegiae_CB433,179
Minaria_magisteriana_CB435,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_magisteriana_CB435,180
Minaria_micromeria_CB436,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_micromeria_CB436,181
Minaria_parva_CB443,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_parva_CB443,182
Minaria_refractifolia_CB442,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_refractifolia_CB442,183
Minaria_semirii_CB444,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_semirii_CB444,184
Minaria_volubilis_CB216,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Minaria_volubilis_CB216,185
Morilloa_lutea_PAFTOL025211,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Morilloa_lutea_PAFTOL025211,191
Nephradenia_acerosa_CB451,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Nephradenia_acerosa_CB451,198
Nephradenia_asparagoides_CB452,Asclepiadoideae_Asclepiadeae_Metastelmatinae_Nephradenia_asparagoides_CB452,199
Jobinia_connivens_PAFTOL025213,Asclepiadoideae_Asclepiadeae_Orthosiinae_Jobinia_connivens_PAFTOL025213,141
Monsanima_morrenioides_PAFTOL025215,Asclepiadoideae_Asclepiadeae_Orthosiinae_Monsanima_morrenioides_PAFTOL025215,190
Orthosia_dusenii_PAFTOL025217,Asclepiadoideae_Asclepiadeae_Orthosiinae_Orthosia_dusenii_PAFTOL025217,211
Orthosia_scoparia_PAFTOL025207,Asclepiadoideae_Asclepiadeae_Orthosiinae_Orthosia_scoparia_PAFTOL025207,212
Scyphostelma_harlingii_PAFTOL031709,Asclepiadoideae_Asclepiadeae_Orthosiinae_Scyphostelma_harlingii_PAFTOL031709,273
Funastrum_angustissimum_PAFTOL031776,Asclepiadoideae_Asclepiadeae_Oxypetalinae_Funastrum_angustissimum_PAFTOL031776,115
Philibertia_solanoides_PAFTOL031780,Asclepiadoideae_Asclepiadeae_Oxypetalinae_Philibertia_solanoides_PAFTOL031780,231
Tweedia_brunonis_PAFTOL027251,Asclepiadoideae_Asclepiadeae_Oxypetalinae_Tweedia_brunonis_PAFTOL027251,313
Pentacyphus_camargoi_PAFTOL027253,Asclepiadoideae_Asclepiadeae_Pentacyphinae_Pentacyphus_camargoi_PAFTOL027253,220
Tassadia_stricta_CB457,Asclepiadoideae_Asclepiadeae_Tassadiinae_Tassadia_stricta_CB457,302
Topea_micrantha_PAFTOL027255,Asclepiadoideae_Asclepiadeae_Topeinae_Topea_micrantha_PAFTOL027255,307
Pentatropis_capensis_PAFTOL031739,Asclepiadoideae_Asclepiadeae_Tylophorinae_Pentatropis_capensis_PAFTOL031739,223
Anisotoma_cordifolia_PAFTOL031772,Asclepiadoideae_Ceropegieae_Anisotominae_Anisotoma_cordifolia_PAFTOL031772,18
Emplectanthus_cordatus_PAFTOL031702,Asclepiadoideae_Ceropegieae_Anisotominae_Emplectanthus_cordatus_PAFTOL031702,102
Neoschumannia_kamerunensis_PAFTOL031897,Asclepiadoideae_Ceropegieae_Anisotominae_Neoschumannia_kamerunensis_PAFTOL031897,197
Riocreuxia_torulosa_PAFTOL031785,Asclepiadoideae_Ceropegieae_Anisotominae_Riocreuxia_torulosa_PAFTOL031785,259
Sisyranthus_barbatus_PAFTOL025439,Asclepiadoideae_Ceropegieae_Anisotominae_Sisyranthus_barbatus_PAFTOL025439,278
Heterostemma_herbertii_PAFTOL031705,Asclepiadoideae_Ceropegieae_Heterostemminae_Heterostemma_herbertii_PAFTOL031705,133
Conomitra_linearis_PAFTOL031808,Asclepiadoideae_Ceropegieae_Leptadeniinae_Conomitra_linearis_PAFTOL031808,66
Leptadenia_madagascariensis_PAFTOL031797,Asclepiadoideae_Ceropegieae_Leptadeniinae_Leptadenia_madagascariensis_PAFTOL031797,154
Orthanthera_jasminiflora_PAFTOL027257,Asclepiadoideae_Ceropegieae_Leptadeniinae_Orthanthera_jasminiflora_PAFTOL027257,208
Pentasacme_caudatum_PAFTOL027259,Asclepiadoideae_Ceropegieae_Leptadeniinae_Pentasacme_caudatum_PAFTOL027259,222
Apteranthes_tuberculata_PAFTOL027263,Asclepiadoideae_Ceropegieae_Stapeliinae_Apteranthes_tuberculata_PAFTOL027263,22
Australluma_peschii_PAFTOL027265,Asclepiadoideae_Ceropegieae_Stapeliinae_Australluma_peschii_PAFTOL027265,30
Baynesia_lophophora_PAFTOL027267,Asclepiadoideae_Ceropegieae_Stapeliinae_Baynesia_lophophora_PAFTOL027267,37
Caralluma_dalzielii_PAFTOL031824,Asclepiadoideae_Ceropegieae_Stapeliinae_Caralluma_dalzielii_PAFTOL031824,48
Ceropegia_sandersonii_PAFTOL005222,Asclepiadoideae_Ceropegieae_Stapeliinae_Ceropegia_sandersonii_PAFTOL005222,54
Desmidorchis_retrospiciens_PAFTOL027273,Asclepiadoideae_Ceropegieae_Stapeliinae_Desmidorchis_retrospiciens_PAFTOL027273,81
Duvalia_elegans_PAFTOL031760,Asclepiadoideae_Ceropegieae_Stapeliinae_Duvalia_elegans_PAFTOL031760,94
Duvaliandra_dioscoridis_PAFTOL027275,Asclepiadoideae_Ceropegieae_Stapeliinae_Duvaliandra_dioscoridis_PAFTOL027275,95
Echidnopsis_cereiformis_PAFTOL031761,Asclepiadoideae_Ceropegieae_Stapeliinae_Echidnopsis_cereiformis_PAFTOL031761,96
Edithcolea_grandis_PAFTOL027277,Asclepiadoideae_Ceropegieae_Stapeliinae_Edithcolea_grandis_PAFTOL027277,99
Huernia_barbata_PAFTOL031766,Asclepiadoideae_Ceropegieae_Stapeliinae_Huernia_barbata_PAFTOL031766,135
Larryleachia_perlata_PAFTOL027279,Asclepiadoideae_Ceropegieae_Stapeliinae_Larryleachia_perlata_PAFTOL027279,149
Lavrania_haagnerae_PAFTOL027281,Asclepiadoideae_Ceropegieae_Stapeliinae_Lavrania_haagnerae_PAFTOL027281,151
Monolluma_socotrana_PAFTOL027283,Asclepiadoideae_Ceropegieae_Stapeliinae_Monolluma_socotrana_PAFTOL027283,189
Ophionella_arcuata_PAFTOL027285,Asclepiadoideae_Ceropegieae_Stapeliinae_Ophionella_arcuata_PAFTOL027285,204
Orbea_hardyi_PAFTOL027287,Asclepiadoideae_Ceropegieae_Stapeliinae_Orbea_hardyi_PAFTOL027287,206
Pectinaria_articulata_PAFTOL027289,Asclepiadoideae_Ceropegieae_Stapeliinae_Pectinaria_articulata_PAFTOL027289,219
Piaranthus_geminatus_PAFTOL027291,Asclepiadoideae_Ceropegieae_Stapeliinae_Piaranthus_geminatus_PAFTOL027291,234
Pseudolithos_dodsonianus_PAFTOL027293,Asclepiadoideae_Ceropegieae_Stapeliinae_Pseudolithos_dodsonianus_PAFTOL027293,245
Pseudolithos_mccoyi_PAFTOL027261,Asclepiadoideae_Ceropegieae_Stapeliinae_Pseudolithos_mccoyi_PAFTOL027261,246
Quaqua_parviflora_PAFTOL031801,Asclepiadoideae_Ceropegieae_Stapeliinae_Quaqua_parviflora_PAFTOL031801,250
Rhytidocaulon_macrolobum_PAFTOL027295,Asclepiadoideae_Ceropegieae_Stapeliinae_Rhytidocaulon_macrolobum_PAFTOL027295,256
Richtersveldia_columnaris_PAFTOL027297,Asclepiadoideae_Ceropegieae_Stapeliinae_Richtersveldia_columnaris_PAFTOL027297,258
Socotrella_dolichocnema_PAFTOL027299,Asclepiadoideae_Ceropegieae_Stapeliinae_Socotrella_dolichocnema_PAFTOL027299,279
Stapelianthus_decaryi_PAFTOL027301,Asclepiadoideae_Ceropegieae_Stapeliinae_Stapelianthus_decaryi_PAFTOL027301,285
Stapeliopsis_saxatilis_PAFTOL027303,Asclepiadoideae_Ceropegieae_Stapeliinae_Stapeliopsis_saxatilis_PAFTOL027303,286
Tavaresia_barklyi_PAFTOL027305,Asclepiadoideae_Ceropegieae_Stapeliinae_Tavaresia_barklyi_PAFTOL027305,303
Tridentea_gemmiflora_PAFTOL027307,Asclepiadoideae_Ceropegieae_Stapeliinae_Tridentea_gemmiflora_PAFTOL027307,311
Tromotriche_ruschiana_PAFTOL027309,Asclepiadoideae_Ceropegieae_Stapeliinae_Tromotriche_ruschiana_PAFTOL027309,312
Emicocarpus_fissifolius_PAFTOL025387,Asclepiadoideae_Eustegieae_nosubtribe_Emicocarpus_fissifolius_PAFTOL025387,101
Eustegia_minuta_PAFTOL004041,Asclepiadoideae_Eustegieae_nosubtribe_Eustegia_minuta_PAFTOL004041,107
Cibirhiza_dhofarensis_PAFTOL031755,Asclepiadoideae_Fockeeae_nosubtribe_Cibirhiza_dhofarensis_PAFTOL031755,61
Fockea_edulis_PAFTOL005223,Asclepiadoideae_Fockeeae_nosubtribe_Fockea_edulis_PAFTOL005223,113
Anisopus_mannii_PAFTOL031795,Asclepiadoideae_Marsdenieae_nosubtribe_Anisopus_mannii_PAFTOL031795,17
Campestigma_purpurea_PAFTOL031700,Asclepiadoideae_Marsdenieae_nosubtribe_Campestigma_purpureum_PAFTOL031700,46
Cionura_erecta_PAFTOL031756,Asclepiadoideae_Marsdenieae_nosubtribe_Cionura_erecta_PAFTOL031756,62
Cosmostigma_cordatum_PAFTOL025333,Asclepiadoideae_Marsdenieae_nosubtribe_Cosmostigma_cordatum_PAFTOL025333,68
Dalzielia_oblanceolata_PAFTOL025355,Asclepiadoideae_Marsdenieae_nosubtribe_Dalzielia_oblanceolata_PAFTOL025355,79
Dischidanthus_urceolatus_PAFTOL027311,Asclepiadoideae_Marsdenieae_nosubtribe_Dischidanthus_urceolatus_PAFTOL027311,85
Dischidia_nummularia_GAP022127,Asclepiadoideae_Marsdenieae_nosubtribe_Dischidia_nummularia_GAP022127,86
Dregea_floribunda_PAFTOL031759,Asclepiadoideae_Marsdenieae_nosubtribe_Dregea_floribunda_PAFTOL031759,93
Gongronema_filipes_PAFTOL027313,Asclepiadoideae_Marsdenieae_nosubtribe_Gongronema_filipes_PAFTOL027313,123
Gymnemopsis_calcicola_PAFTOL025463,Asclepiadoideae_Marsdenieae_nosubtribe_Gymnemopsis_calcicola_PAFTOL025463,127
Harmandiella_cordifolia_PAFTOL027317,Asclepiadoideae_Marsdenieae_nosubtribe_Harmandiella_cordifolia_PAFTOL027317,130
Jasminanthes_suaveolens_PAFTOL031768,Asclepiadoideae_Marsdenieae_nosubtribe_Jasminanthes_suaveolens_PAFTOL031768,140
Lygisma_inflexum_PAFTOL027321,Asclepiadoideae_Marsdenieae_nosubtribe_Lygisma_inflexum_PAFTOL027321,157
Marsdenia_angolensis_PAFTOL027315,Asclepiadoideae_Marsdenieae_nosubtribe_Marsdenia_angolensis_PAFTOL027315,163
Oreosparte_celebica_PAFTOL027323,Asclepiadoideae_Marsdenieae_nosubtribe_Oreosparte_celebica_PAFTOL027323,207
Papuahoya_bykulleana_PAFTOL027325,Asclepiadoideae_Marsdenieae_nosubtribe_Papuahoya_bykulleana_PAFTOL027325,215
Pycnorhachis_maingayi_PAFTOL025377,Asclepiadoideae_Marsdenieae_nosubtribe_Pycnorhachis_maingayi_PAFTOL025377,249
Rhyssolobium_dumosum_PAFTOL031784,Asclepiadoideae_Marsdenieae_nosubtribe_Rhyssolobium_dumosum_PAFTOL031784,255
Ruehssia_carvalhoi_PAFTOL004072,Asclepiadoideae_Marsdenieae_nosubtribe_Ruehssia_carvalhoi_PAFTOL004072,262
Sarcolobus_vittatus_GAP022293,Asclepiadoideae_Marsdenieae_nosubtribe_Sarcolobus_vittatus_GAP022293,265
Sicyocarpus_verrucosus_PAFTOL027329,Asclepiadoideae_Marsdenieae_nosubtribe_Sicyocarpus_verrucosus_PAFTOL027329,276
Stigmatorhynchus_umbellifer_PAFTOL031698,Asclepiadoideae_Marsdenieae_nosubtribe_Stigmatorhynchus_umbellifer_PAFTOL031698,291
Treutlera_insignis_PAFTOL025399,Asclepiadoideae_Marsdenieae_nosubtribe_Treutlera_insignis_PAFTOL025399,309
Wattakaka_volubilis_PAFTOL031745,Asclepiadoideae_Marsdenieae_nosubtribe_Wattakaka_volubilis_PAFTOL031745,322
Gelsemium_elegans_SRR12009649,Gelsemiaceae_Gelsemieae_Gelsemium_elegans_SRR12009649,119
Chironia_baccifera_PAFTOL005228,Gentianaceae_Chironieae_Chironia_baccifera_PAFTOL005228,57
Exacum_exiguum_PAFTOL005229,Gentianaceae_Exaceae_Exacum_exiguum_PAFTOL005229,108
Macrocarpaea_stenophylla_PAFTOL005232,Gentianaceae_Helieae_Macrocarpaea_stenophylla_PAFTOL005232,160
Utania_racemosa_PAFTOL005230,Gentianaceae_Potalieae_Utania_racemosa_PAFTOL005230,315
Voyria_aurantiaca_PAFTOL005233,Gentianaceae_Voyrieae_Voyria_aurantiaca_PAFTOL005233,321
Antonia_ovata_PAFTOL005873,Loganiaceae_Antonieae_Antonia_ovata_PAFTOL005873,20
Geniostoma_borbonicum_PAFTOL006558,Loganiaceae_Loganieae_Geniostoma_borbonicum_PAFTOL006558,121
Spigelia_pulchella_PAFTOL005874,Loganiaceae_Spigelieae_Spigelia_pulchella_PAFTOL005874,281
Neuburgia_corynocarpa_PAFTOL007837,Loganiaceae_Strychneae_Neuburgia_corynocarpa_PAFTOL007837,201
